epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.34691,1.42136,3.95071,1.50727,0.44444,0.10695,0.25953,0.19773,1.02069,3.54017,1.16232,6.666e-05,6.666e-05,6.666e-05
2,8.10399,1.26768,3.65337,1.32674,0.31348,0.53476,0.45383,0.3189,1.05034,3.39379,1.08553,0.000139664,0.000139664,0.000139664
3,12.018,1.26601,3.19394,1.29366,0.16667,0.79679,0.56768,0.37288,1.12426,3.25473,1.08895,0.000207535,0.000207535,0.000207535
4,14.5395,1.30872,2.79816,1.28817,0.16279,0.86096,0.72257,0.47181,1.07517,3.20183,1.0826,0.000270273,0.000270273,0.000270273
5,16.9614,1.32449,2.50659,1.30921,0.13434,0.85561,0.7482,0.45493,1.14009,3.1079,1.10784,0.000327878,0.000327878,0.000327878
6,19.3667,1.25549,1.99952,1.29967,0.15054,0.82353,0.73176,0.47768,1.14212,3.07716,1.1377,0.000380351,0.000380351,0.000380351
7,21.7414,1.24821,1.79893,1.31512,0.85845,0.55133,0.72185,0.46266,1.25231,2.84773,1.19243,0.000427691,0.000427691,0.000427691
8,25.3621,1.30245,1.48997,1.3412,0.8874,0.36898,0.71657,0.46872,1.19891,2.68349,1.19579,0.000469897,0.000469897,0.000469897
9,28.0426,1.31857,1.40982,1.3475,0.85659,0.63881,0.75284,0.49807,1.22505,2.32909,1.26612,0.000506972,0.000506972,0.000506972
10,30.5304,1.23604,1.27998,1.31023,0.91717,0.65775,0.76154,0.51758,1.25651,2.14673,1.318,0.000538913,0.000538913,0.000538913
11,32.8663,1.1815,1.15814,1.28964,0.91136,0.6631,0.75557,0.52764,1.23773,2.00142,1.2973,0.000565721,0.000565721,0.000565721
12,35.3623,1.16466,1.13256,1.29919,0.88885,0.68984,0.78429,0.54531,1.22673,1.63455,1.28073,0.000587397,0.000587397,0.000587397
13,38.8002,1.17376,1.13405,1.3034,0.90451,0.70915,0.79231,0.54879,1.20032,1.53556,1.27423,0.00060394,0.00060394,0.00060394
14,41.6532,1.11425,1.04378,1.23184,0.90283,0.71658,0.81954,0.56124,1.20456,1.46499,1.27705,0.00061535,0.00061535,0.00061535
15,43.9261,1.13853,1.03148,1.2231,0.87355,0.73886,0.82787,0.54841,1.21866,1.47184,1.29356,0.000597718,0.000597718,0.000597718
16,46.208,1.18632,1.00904,1.26013,0.85019,0.72836,0.82337,0.54713,1.20919,1.47077,1.2794,0.000561055,0.000561055,0.000561055
17,48.6076,1.10621,0.98582,1.20497,0.84672,0.76807,0.82706,0.55118,1.18889,1.39452,1.27177,0.000524392,0.000524392,0.000524392
18,51.4404,1.12234,1.0073,1.19907,0.89282,0.71273,0.83179,0.56571,1.1675,1.23851,1.26187,0.000487729,0.000487729,0.000487729
19,55.2243,1.09697,0.9709,1.18641,0.90244,0.742,0.85709,0.59834,1.10749,1.06751,1.21425,0.000451066,0.000451066,0.000451066
20,57.62,1.10027,0.95915,1.20477,0.84733,0.77005,0.8645,0.58676,1.15759,1.02768,1.27258,0.000414403,0.000414403,0.000414403
21,61.6751,1.08493,1.07764,1.18259,0.84814,0.75401,0.86481,0.58887,1.15282,0.99084,1.2801,0.00037774,0.00037774,0.00037774
22,64.6494,1.03112,0.99367,1.16333,0.90797,0.73262,0.86021,0.5936,1.11774,1.02843,1.22533,0.000341077,0.000341077,0.000341077
23,68.3226,1.03419,0.96425,1.13413,0.90533,0.75936,0.85087,0.58974,1.11682,1.06449,1.20753,0.000304414,0.000304414,0.000304414
24,70.706,1.01639,0.97142,1.1291,0.90156,0.75936,0.8596,0.59887,1.1057,0.98733,1.18944,0.000267751,0.000267751,0.000267751
25,73.0065,0.99389,0.92792,1.11736,0.9323,0.75401,0.86378,0.60633,1.10156,0.94532,1.19352,0.000231088,0.000231088,0.000231088
26,75.4334,0.989,0.88624,1.11968,0.91897,0.77005,0.87347,0.60607,1.09335,0.90694,1.19409,0.000194425,0.000194425,0.000194425
27,77.6915,1.00102,0.87478,1.11921,0.91208,0.7767,0.87528,0.60819,1.077,0.87509,1.18734,0.000157762,0.000157762,0.000157762
28,80.8351,0.98416,0.8687,1.09818,0.9353,0.77305,0.87568,0.60564,1.07494,0.86753,1.19639,0.000121099,0.000121099,0.000121099
29,83.7873,0.95734,0.84283,1.10784,0.93564,0.77747,0.87495,0.61058,1.07739,0.87117,1.20075,8.4436e-05,8.4436e-05,8.4436e-05
30,86.2455,0.96553,0.84699,1.13224,0.95362,0.76959,0.88117,0.6111,1.07525,0.86827,1.19739,4.7773e-05,4.7773e-05,4.7773e-05
